data_date	CR8
01/06/2013	79.7
01/09/2013	79.5
01/12/2013	80
01/03/2014	78.7
01/06/2014	78.8
01/09/2014	78.4
01/12/2014	77.9
01/03/2015	77.7
01/06/2015	77.7
01/09/2015	77.4
01/12/2015	77.3
01/03/2016	76.4
01/06/2016	76.8
01/09/2016	76.9
01/12/2016	76.7
01/03/2017	76.4
01/06/2017	77.8
01/09/2017	78.2
01/12/2017	78.7
01/03/2018	80.7
01/06/2018	81.5
01/09/2018	81.4
01/12/2018	81.2
01/03/2019	81.7
01/06/2019	81.7
01/09/2019	81.8
01/12/2019	82.5
01/03/2020	85.9
01/06/2020	84.1
01/09/2020	82.9
01/12/2020	82.2
01/03/2021	80.5
01/06/2021	80.8
01/09/2021	80.8
01/12/2021	80.5
01/03/2022	84.9
01/12/2022	84.5
01/03/2023	84.9
